,combined_chargedescription,arrest_year,X,Y,arrestnumber,age,latitude,longitude,objectid,shape,arrest_month
2365,FAILURE TO APPEAR,2021,1407759.43109318,579870.639409286,32938127227.0,53661.0,39.2584,-76.663,236121757,0.0,11347
2366,FAILURE TO APPEAR,2022,39134419.35335906,2092360.2394061158,46998938950.0,72471.0,196.6813,-383.2255,337876495,0.0,14950
2367,FAILURE TO APPEAR OR PAY FINE,2018,0.0,0.0,36177975.0,91.0,0.0,0.0,402141,0.0,11
2368,FAILURE TO APPEAR OR PAY FINE,2019,0.0,0.0,57235643.0,140.0,0.0,0.0,624059,0.0,17
2369,FAILURE TO APPEAR OR PAY FINE,2020,0.0,0.0,161265637.0,327.0,0.0,0.0,502114,0.0,79
2370,FAILURE TO APPEAR OR PAY FINE,2021,0.0,0.0,84445940.0,142.0,0.0,0.0,524353,0.0,31
2371,FAILURE TO APPEAR OR PAY FINE,2022,0.0,0.0,88381937.0,135.0,0.0,0.0,549645,0.0,32
2372,FAILURE TO ATTACH FRONT PLATE,2018,1416148.91774167,599061.732420984,18042869.0,30.0,39.311,-76.6331,286506,0.0,3
2373,FAILURE TO COMPLY,2022,0.0,0.0,132611804.0,184.0,0.0,0.0,732216,0.0,49
2374,FAILURE TO COMPLY WITH PEACE O,2021,1427713.75384923,600859.14830594,21129166.0,58.0,39.3158,-76.5922,93078,0.0,9
2375,FAILURE TO EXHIBIT PROOF OF PA,2018,0.0,0.0,54149549.0,86.0,0.0,0.0,817060,0.0,11
2376,FAILURE TO EXHIBIT PROOF OF PA,2022,0.0,0.0,22140203.0,45.0,0.0,0.0,33306,0.0,11
2377,FAILURE TO IMMEDIATEL RETURN A,2018,1415446.77669088,597747.66449873,18052368.0,43.0,39.3074,-76.6356,268742,0.0,3
2378,FAILURE TO IMMEDIATELY RETURN,2018,0.0,0.0,18180571.0,31.0,0.0,0.0,22146,0.0,12
2379,FAILURE TO IMMEDIATELY RETURN,2020,0.0,0.0,20195684.0,28.0,0.0,0.0,5347,0.0,12
2380,FAILURE TO IMMEDIATELY STOP VE,2018,0.0,0.0,18174014.0,39.0,0.0,0.0,33490,0.0,11
2381,FAILURE TO IMMEDIATELY STOP VE,2020,0.0,0.0,20195867.0,34.0,0.0,0.0,3897,0.0,12
2382,FAILURE TO IMMEDIATELY STOP VE,2021,1435692.92926293,612624.599295164,63173466.0,73.0,39.348,-76.5638,733503,0.0,13
2383,FAILURE TO OBEY,2018,7144539.01813428,2995189.198642681,361963375.0,672.0,196.5539,-382.94,3597309,0.0,128
2384,FAILURE TO OBEY,2019,4244449.21268836,1763587.9435602091,324472780.0,591.0,117.8408,-229.9139,3230732,0.0,102
2385,FAILURE TO OBEY,2020,1420565.28075563,605271.924181137,442426323.0,809.0,39.328,-76.6174,3270149,0.0,163
2386,FAILURE TO OBEY,2021,0.0,0.0,189524516.0,296.0,0.0,0.0,2177205,0.0,40
2387,FAILURE TO OBEY,2022,0.0,0.0,442076118.0,659.0,0.0,0.0,2367190,0.0,165
2388,FAILURE TO OBEY A LAWFUL ORDER,2019,1394339.2903293,606049.498691634,19046939.0,36.0,39.3304,-76.7101,267669,0.0,3
2389,FAILURE TO OBEY AN ORDER OF TH,2019,0.0,0.0,19075891.0,25.0,0.0,0.0,213654,0.0,5
2390,FAILURE TO OBEY AN ORDER OF TH,2022,0.0,0.0,44118301.0,52.0,0.0,0.0,439093,0.0,10
2391,FAILURE TO OBEY COURT ORDER,2019,0.0,0.0,19097081.0,22.0,0.0,0.0,170119,0.0,7
2392,FAILURE TO OBEY COURT ORDER,2020,0.0,0.0,20084927.0,20.0,0.0,0.0,184003,0.0,6
2393,FAILURE TO OBEY COURT ORDER,2021,0.0,0.0,21145232.0,60.0,0.0,0.0,55499,0.0,10
2394,FAILURE TO OBEY LAWFUL ORDER,2022,32070835.9419795,-948896.130248216,22135796.0,24.0,0.0,0.0,43290,0.0,11
2395,FAILURE TO OBEY ORDER,2022,0.0,0.0,44116432.0,101.0,0.0,0.0,445558,0.0,9
2396,FAILURE TO OBEY ORDER OF COURT,2020,0.0,0.0,40255083.0,52.0,0.0,0.0,226042,0.0,17
2397,FAILURE TO OBEY ORDER OF COURT,2021,0.0,0.0,63129687.0,93.0,0.0,0.0,816115,0.0,9
2398,FAILURE TO OBEY ORDER OF COURT,2022,0.0,0.0,22058150.0,19.0,0.0,0.0,223491,0.0,5
2399,FAILURE TO OBEY ORDER OF THE C,2019,0.0,0.0,19100798.0,28.0,0.0,0.0,161999,0.0,7
2400,FAILURE TO OBEY ORDER OF THE C,2021,0.0,0.0,21153088.0,29.0,0.0,0.0,35140,0.0,11
2401,FAILURE TO OBEY ORDER OF THE C,2022,0.0,0.0,66418333.0,80.0,0.0,0.0,105030,0.0,33
2402,FAILURE TO OBEY/TRESPASS,2018,1442703.54577884,590804.627877665,18024297.0,27.0,39.288,-76.5394,319714,0.0,2
2403,FAILURE TO PAY,2018,0.0,0.0,36272817.0,61.0,0.0,0.0,212328,0.0,18
2404,FAILURE TO PAY,2019,0.0,0.0,152687647.0,331.0,0.0,0.0,1529681,0.0,49
2405,FAILURE TO PAY,2020,0.0,0.0,80386551.0,121.0,0.0,0.0,657711,0.0,27
2406,FAILURE TO PAY,2021,0.0,0.0,21042982.0,59.0,0.0,0.0,273705,0.0,3
2407,FAILURE TO PAY FINE,2018,0.0,0.0,235437451.0,578.0,0.0,0.0,2037071,0.0,93
2408,FAILURE TO PAY FINE,2019,0.0,0.0,267256079.0,454.0,0.0,0.0,2585811,0.0,87
2409,FAILURE TO PAY FINE,2020,0.0,0.0,20169706.0,47.0,0.0,0.0,45148,0.0,11
2410,FAILURE TO PAY FINE,2021,0.0,0.0,21145178.0,52.0,0.0,0.0,55521,0.0,10
2411,FAILURE TO PAY FINE,2022,0.0,0.0,110396836.0,203.0,0.0,0.0,858776,0.0,34
2412,FAILURE TO PAY WAGES,2018,0.0,0.0,307209705.0,618.0,0.0,0.0,3932800,0.0,78
2413,FAILURE TO PAY WAGES,2019,0.0,0.0,95458655.0,134.0,0.0,0.0,903301,0.0,31
2414,FAILURE TO PAY WAGES,2020,0.0,0.0,100415676.0,183.0,0.0,0.0,1006796,0.0,28
2415,FAILURE TO PAY WAGES,2021,0.0,0.0,63244012.0,94.0,0.0,0.0,576766,0.0,18
2416,FAILURE TO PAY WAGES,2022,0.0,0.0,44161219.0,95.0,0.0,0.0,340617,0.0,14
2417,FAILURE TO REG,2019,0.0,0.0,19080008.0,30.0,0.0,0.0,205811,0.0,5
2418,FAILURE TO REG GUN OFFENDER,2020,0.0,0.0,20081835.0,40.0,0.0,0.0,190016,0.0,6
2419,FAILURE TO REGISTER,2018,0.0,0.0,18007066.0,20.0,0.0,0.0,349267,0.0,1
2420,FAILURE TO REGISTER,2019,0.0,0.0,19101794.0,40.0,0.0,0.0,159962,0.0,7
2421,FAILURE TO REGISTER,2020,0.0,0.0,20051465.0,42.0,0.0,0.0,244994,0.0,4
2422,FAILURE TO REGISTER GUN OFFEND,2021,0.0,0.0,63197257.0,73.0,0.0,0.0,665999,0.0,15
2423,FAILURE TO REMAIN,2021,1415954.83909663,591011.323343377,21120665.0,48.0,39.2889,-76.6339,112421,0.0,8
2424,FAILURE TO REMAIN AT SCENE,2018,0.0,0.0,18064521.0,28.0,0.0,0.0,246971,0.0,4
2425,FAILURE TO REMAIN AT SCENE OF,2018,0.0,0.0,18101739.0,22.0,0.0,0.0,176963,0.0,6
2426,FAILURE TO REMAIN AT SCENE OF,2019,1428741.98756888,598714.752940551,19000277.0,20.0,39.3099,-76.5886,360842,0.0,1
2427,FAILURE TO REMAIN AT SCENE OF,2021,0.0,0.0,21137006.0,29.0,0.0,0.0,74923,0.0,10
2428,FAILURE TO REMAIN AT SCENE OF,2022,0.0,0.0,22058367.0,29.0,0.0,0.0,220646,0.0,5
2429,FAILURE TO REMAIN AT THE SCENE,2021,33485640.71333091,-353372.866549682,42227576.0,82.0,39.3013,-76.6379,243927,0.0,16
2430,FAILURE TO REMAIN OR RETURN TO,2019,1409714.65156734,587016.895433554,19040402.0,34.0,39.278,-76.656,280089,0.0,3
2431,FAILURE TO RETURN & REMAIN AT,2018,0.0,0.0,18186610.0,52.0,0.0,0.0,12656,0.0,12
2432,FAILURE TO RETURN AND REMAIN A,2020,1442572.88151431,616701.503040588,20156404.0,27.0,39.3591,-76.5394,63201,0.0,10
2433,FAILURE TO RETURN AND REMAIN A,2022,0.0,0.0,22124859.0,34.0,0.0,0.0,69022,0.0,10
2434,FAILURE TO RETURN SCENE OF ACC,2018,0.0,0.0,18130942.0,30.0,0.0,0.0,117518,0.0,8
2435,FAILURE TO RETURN TO & REMAIN,2018,0.0,0.0,18075114.0,46.0,0.0,0.0,227657,0.0,5
2436,FAILURE TO RETURN TO & REMAIN,2019,0.0,0.0,19097328.0,19.0,0.0,0.0,169063,0.0,7
2437,FAILURE TO RETURN TO & REMAIN,2022,1408218.42842944,593531.103524721,22074383.0,19.0,39.2959,-76.6612,186838,0.0,6
2438,FAILURE TO RETURN TO A TRAFFFI,2020,32070835.9419795,-948896.130248216,20008678.0,37.0,0.0,0.0,343973,0.0,1
2439,FAILURE TO RETURN TO ACCIDENT,2019,1408816.15110163,592622.739596941,19080043.0,22.0,39.2934,-76.6591,205794,0.0,5
2440,FAILURE TO RETURN TO SCENE OF,2021,0.0,0.0,21017902.0,28.0,0.0,0.0,325678,0.0,2
2441,FAILURE TO STAY AT SCENE,2022,1414342.671327,590713.520027208,22074483.0,25.0,39.2881,-76.6396,185882,0.0,6
2442,FAILURE TO STOP,2018,1412761.46089715,589723.891359712,18010827.0,32.0,39.2854,-76.6452,341858,0.0,1
2443,FAILURE TO STOP,2022,0.0,0.0,22060064.0,34.0,0.0,0.0,218561,0.0,5
2444,FAILURE TO STOP ACCIDENT,2018,1425795.58692353,599539.391175583,18139970.0,41.0,39.3122,-76.599,98357,0.0,9
2445,FAILURE TO STOP AFTER ACCIDENT,2018,0.0,0.0,90462672.0,169.0,0.0,0.0,946502,0.0,31
2446,FAILURE TO STOP AFTER ACCIDENT,2019,2808230.71679781,1178512.107056751,57371429.0,120.0,78.5684,-153.3515,351215,0.0,25
2447,FAILURE TO STOP AFTER ACCIDENT,2020,4242808.33139517,1771083.845023132,100357736.0,140.0,117.8614,-229.9196,1095791,0.0,26
2448,FAILURE TO STOP AFTER ACCIDENT,2021,0.0,0.0,42132982.0,51.0,0.0,0.0,450364,0.0,10
2449,FAILURE TO STOP AFTER ACCIDENT,2022,0.0,0.0,66229465.0,92.0,0.0,0.0,539938,0.0,19
2450,FAILURE TO STOP AFTER ACCUDENT,2019,0.0,0.0,19169196.0,52.0,0.0,0.0,26705,0.0,11
2451,FAILURE TO STOP AFTER AN ACCID,2022,1433213.50883472,598553.171948192,22051565.0,31.0,39.3094,-76.5728,236581,0.0,4
2452,FAILURE TO STOP AT ACCIDENT,2021,0.0,0.0,21047098.0,34.0,0.0,0.0,265586,0.0,4
2453,FAILURE TO STOP AT ACCIDENT SC,2019,0.0,0.0,19024503.0,26.0,0.0,0.0,313808,0.0,2
2454,FAILURE TO STOP AT AN ACCIDENT,2018,0.0,0.0,18108207.0,25.0,0.0,0.0,164082,0.0,7
2455,FAILURE TO STOP AT RED CIRCULA,2019,1426366.61857086,591965.766607679,19049219.0,32.0,39.2914,-76.5971,263619,0.0,4
2456,FAILURE TO STOP AT SCENE OF AC,2019,1434231.86403722,592620.879693716,19022239.0,34.0,39.2931,-76.5693,316863,0.0,2
2457,FAILURE TO STOP AT SCENE OF AC,2020,0.0,0.0,20129811.0,21.0,0.0,0.0,109194,0.0,9
2458,FAILURE TO STOP AT SCENE OF AC,2022,1434716.9670481,591785.428055409,22137434.0,51.0,39.2908,-76.5676,38814,0.0,11
2459,FAILURE TO STOP AT THE SCENE,2020,1411313.30110546,583526.327563852,20064249.0,25.0,39.2684,-76.6504,221668,0.0,5
2460,FAILURE TO STOP AT THE SCENE O,2019,1431729.49886962,595158.855293376,19107200.0,38.0,39.3001,-76.5781,149697,0.0,7
2461,FAILURE TO STOP ELUDE POLICE,2022,0.0,0.0,22029377.0,20.0,0.0,0.0,284219,0.0,3
2462,FAILURE TO STOP FOR ACCIDENT,2022,1435081.70791901,598416.286544546,22119189.0,39.0,39.309,-76.5662,82922,0.0,9
2463,FAILURE TO STOP VECHICLE AT AC,2019,1409514.98748178,587416.801175147,19062420.0,36.0,39.2791,-76.6567,239658,0.0,4
2464,FAILURE TO STOP VEH. AT SCENE,2019,1432919.59858225,594836.56901561,19060153.0,27.0,39.2992,-76.5739,243934,0.0,4
2465,FAILURE TO STOP VEHICLE AT SCE,2019,1410411.04794488,582539.459523905,19064773.0,35.0,39.2657,-76.6536,235646,0.0,5
2466,FAILURE TO STOP VEHICLE AT SCE,2022,0.0,0.0,22123712.0,35.0,0.0,0.0,70958,0.0,10
2467,FAILURE TO VERIFY IFNORMATION,2019,0.0,0.0,19020001.0,21.0,0.0,0.0,322661,0.0,2
2468,FAILURE TO VERIFY INFORMATION,2019,0.0,0.0,19120809.0,35.0,0.0,0.0,122519,0.0,8
2469,FALSE ALARM,2018,1419703.50338421,594814.685411321,18150344.0,49.0,39.2993,-76.6206,77260,0.0,10
2470,FALSE ALARM OF FIRE,2022,1421751.56726587,592346.470038513,22155585.0,24.0,39.2925,-76.6134,2261,0.0,12
2471,FALSE ALARM/AMBULANC CAUSE,2019,0.0,0.0,19176650.0,32.0,0.0,0.0,11816,0.0,12
2472,FALSE IMPRISONMENT,2018,4224462.88663702,1763656.0251353472,90457619.0,170.0,117.84120000000001,-229.9845,960706,0.0,29
2473,FALSE IMPRISONMENT,2019,8550526.45731616,3564345.694118769,133756537.0,232.0,235.7829,-459.6095,1031043,0.0,51
2474,FALSE IMPRISONMENT,2020,0.0,0.0,40232537.0,81.0,0.0,0.0,266007,0.0,16
2475,FALSE IMPRISONMENT,2021,1419118.24284932,592626.841140179,105302352.0,149.0,39.2933,-76.6227,1187622,0.0,23
2476,FALSE IMPRISONMENT,2022,2823080.46752083,1189054.2419425189,176573961.0,274.0,78.5972,-153.2989,1523851,0.0,48
2477,FALSE PRESCRIPTION,2018,1415410.13783832,606926.336949108,18057607.0,50.0,39.3326,-76.6356,258402,0.0,4
2478,FALSE PRETENCE,2018,1434734.19999006,606063.676881772,18024148.0,28.0,39.33,-76.5673,320661,0.0,2
2479,FALSE PRETENSE,2018,2849421.68160041,1202930.704232258,36018197.0,77.0,78.63499999999999,-153.2056,693474,0.0,2
2480,FALSE PRETENSE,2019,7101945.35172024,2925936.397455414,95278092.0,169.0,196.36430000000001,-383.09159999999997,1259243,0.0,21
2481,FALSE PRETENSE,2020,1443693.6319135,590918.913526236,20162981.0,55.0,39.2883,-76.5359,54597,0.0,10
2482,FALSE PRETENSE,2022,32070835.9419795,-948896.130248216,22108418.0,53.0,0.0,0.0,109110,0.0,9
2483,FALSE PRETENSES/ ID THEFT,2021,1443693.6319135,590918.913526236,21105033.0,60.0,39.2883,-76.5359,146424,0.0,7
2484,FALSE REPORT,2019,1416188.92707161,596147.9938136,19097040.0,18.0,39.303,-76.633,171013,0.0,7
2485,FALSE REPORT,2021,1409644.35654476,598162.239075718,21011722.0,44.0,39.3086,-76.6561,337665,0.0,1
2486,FALSE STATEMENT,2018,40556227.636932224,2685178.190393375,126724380.0,263.0,235.9751,-459.8387,1187410,0.0,48
2487,FALSE STATEMENT,2019,9895654.39015554,4197599.5969556,133637399.0,248.0,275.1886,-536.4931,1277849,0.0,44
2488,FALSE STATEMENT,2020,2852936.26996934,1177167.029612274,40121296.0,94.0,78.5642,-153.1936,471412,0.0,10
2489,FALSE STATEMENT,2021,2823254.50411724,1196159.894289708,42260992.0,62.0,78.61670000000001,-153.2982,182036,0.0,19
2490,FALSE STATEMENT,2022,1422542.18222943,572863.346355111,22057580.0,42.0,39.239,-76.6109,224493,0.0,5
2491,FALSE STATEMENT TO AN OFFICER,2021,0.0,0.0,21009088.0,23.0,0.0,0.0,342785,0.0,1
2492,FALSE STATEMENT TO OFC,2022,32070835.9419795,-948896.130248216,22012926.0,58.0,0.0,0.0,325620,0.0,2
2493,FALSE STATEMENT TO OFFICER,2018,0.0,0.0,126561009.0,204.0,0.0,0.0,1500764,0.0,37
2494,FALSE STATEMENT TO OFFICER,2019,0.0,0.0,76271905.0,147.0,0.0,0.0,909738,0.0,19
2495,FALSE STATEMENT TO OFFICER,2020,0.0,0.0,20043406.0,29.0,0.0,0.0,264663,0.0,4
2496,FALSE STATEMENT TO OFFICER,2021,0.0,0.0,147767540.0,216.0,0.0,0.0,922989,0.0,56
2497,FALSE STATEMENT TO OFFICER,2022,0.0,0.0,66344685.0,88.0,0.0,0.0,278587,0.0,28
2498,FALSE STATEMENT TO PEACE OFFIC,2022,1421888.44562356,593439.759069723,22108557.0,41.0,39.2955,-76.6129,108126,0.0,9
2499,FALSE STATEMENT TO POLICE,2019,1424762.398094,602885.872419666,19160753.0,49.0,39.3214,-76.6026,42551,0.0,11
